date,field,sensor_full_name,sensor,depth_1,depth_2,depth_3,depth_4,depth_5
10/29/11,AES, A1-C,1,0.37773654,0.291172663,0.30984799,,
10/29/11,AES, A10-C,10,0.210261898,0.228599731,0.258326176,0.280793742,
10/29/11,AES, A11-C,11,0.069193621,0.172116376,0.248614403,,
10/29/11,AES, A12-C,12,0.211317448,0.161496378,0.245645548,,
10/29/11,AES, A2-C,2,0.260053208,0.300613626,0.287643933,0.310364566,0.222583805
10/29/11,AES, A3-C,3,0.074019638,0.207499753,0.103068519,,0.261892979
10/29/11,AES, A4-C,4,,0.338107489,0.352895475,,
10/29/11,AES, A5-C,5,,0.149707352,0.157683625,,0.117095842
10/29/11,AES, A6-C,6,,0.140790118,0.126397692,0.185394302,0.187124968
10/29/11,AES, A7-C,7,0.091966735,0.176245431,0.181374163,,0.350576924
10/30/11,AES, A1-C,1,0.379003678,0.288967247,0.309281915,,
10/30/11,AES, A10-C,10,0.200752013,0.226649428,0.260691501,0.283666923,
10/30/11,AES, A11-C,11,0.070120572,0.163867141,0.23897986,,
10/30/11,AES, A12-C,12,0.217597954,0.167844895,0.23670516,,
10/30/11,AES, A2-C,2,0.26279779,0.297783044,0.286412865,0.311665678,0.229600342
10/30/11,AES, A3-C,3,0.074019638,0.207125563,0.103068519,,0.261892979
10/30/11,AES, A4-C,4,,0.328588249,0.34583977,,
10/30/11,AES, A5-C,5,,0.153741055,0.15854968,,0.094035355
10/30/11,AES, A6-C,6,,0.143495617,0.130854902,0.185394302,0.186510233
10/30/11,AES, A7-C,7,0.090119144,0.175033526,0.181374163,,0.350261072
10/31/11,AES, A1-C,1,0.37773654,0.287496146,0.308713991,,
10/31/11,AES, A10-C,10,0.193083324,0.2253476,0.261475861,0.283666923,
10/31/11,AES, A11-C,11,0.070120572,0.160180652,0.235351704,,
10/31/11,AES, A12-C,12,0.209857824,0.16981154,0.231497302,,
10/31/11,AES, A2-C,2,0.26279779,0.297783044,0.285795504,0.311665678,0.231351048
