field,average_adjacent,stdev_adjacent,sensor,date,sensor_full_name,depth_1,depth_2,depth_3,precip.cm,tair.C,rh.pct,wind_sp.m_per_s,irradiance.w_per_m.2,year,sand_1,sand_2,sand_3,silt_1,silt_2,silt_3,clay_1,clay_2,clay_3,avg_soilM
AES,0.26259173783991074,0.03227776408004116,3,2014-05-14, A3-C,0.2744077090270455,0.2976057977615063,0.3337020839809808,0,17.91666667,45.95833333,1.420833333,320.5833333,2014,16.468527476474602,14.9466843622718,12.9911532095528,61.93675629086386,60.620355343708,63.0796890878262,21.594716232661565,24.4329602940202,23.929157702621,0.2860067533942759
AES,0.4830491542816162,0.021820859121738333,2,2013-06-15, A2-C,0.1645316310949889,0.2510552137631127,0.26641074672396464,0,18.9,44.04166667,2.870833333,358.1666667,2013,13.037486059510032,19.3836758273507,11.2229213618603,61.8702846045774,55.6573409259707,62.9225674014875,25.092229335912567,24.9589832466786,25.8545112366523,0.2077934224290508
AES,0.36046261919869316,0.01685304810763011,1,2013-06-15, A1-C,0.23393601825731125,0.2665941446704899,0.3358948221475453,0,18.9,44.04166667,2.870833333,358.1666667,2013,13.596915430126899,14.5304209206635,15.0789597123051,57.41014089906983,54.141284529799,51.3194697798878,28.992943670803268,31.3282945495374,33.6015705078071,0.2502650814639006
AES,0.4386904968155755,0.012111933573416753,11,2013-06-15, A11-C,0.2636118835057372,0.30601901619932664,0.29807690129335884,0,18.9,44.04166667,2.870833333,358.1666667,2013,18.925437259432,14.7678525740071,13.6907419134922,59.48575425013706,66.090493136756,63.4670154930122,21.588808490430996,19.1416542892369,22.8422425934955,0.28481544985253193
AES,0.4655162923865848,0.04119302850984709,10,2013-06-15, A10-C,0.14994567963514271,0.21682802448576566,0.29981023925746453,0,18.9,44.04166667,2.870833333,358.1666667,2013,16.7588176913764,11.2803361804534,10.9774528298485,58.85767382278813,65.9210082743388,63.446604217991,24.383508485835478,22.7986555452078,25.5759429521605,0.1833868520604542
AES,0.4045727584097121,0.011380505803087545,3,2013-06-15, A3-C,0.24743541647449885,0.2979928098210968,0.32330808219765617,0,18.9,44.04166667,2.870833333,358.1666667,2013,16.468527476474602,14.9466843622718,12.9911532095528,61.93675629086386,60.620355343708,63.0796890878262,21.594716232661565,24.4329602940202,23.929157702621,0.2727141131477978
AES,0.2748814390765296,0.021797407124085167,4,2013-06-15, A4-C,NA,0.27124298842354577,0.3024077986394353,0,18.9,44.04166667,2.870833333,358.1666667,2013,14.672770180137,16.0482902258725,15.4741957687039,56.37694793751887,60.6319586276053,62.3292290364519,28.950281882344132,23.3197511465222,22.1965751948442,0.27124298842354577
AES,0.5656551784939237,0.016233978433154456,12,2013-06-15, A12-C,0.23144320534584903,0.25151349944734525,0.28267439223160223,0,18.9,44.04166667,2.870833333,358.1666667,2013,17.093240431138867,11.6480896423963,10.552703173328,58.333787266612795,63.9508412663666,66.8250514635646,24.572972302248303,24.4010690912371,22.6222453631073,0.24147835239659715
AES,0.4486591054333581,0.011650707820297104,5,2013-06-15, A5-C,0.14836565631702772,0.2882323826848472,0.27849006773982055,0,18.9,44.04166667,2.870833333,358.1666667,2013,16.239896948098203,17.8162778545966,14.8911260428653,62.309404110917605,56.3756767036222,67.1593474607257,21.450698940984267,25.8080454417812,17.949526496409,0.21829901950093744
AES,0.4934256606631809,0.008864087046128663,6,2013-06-15, A6-C,NA,0.23503479456970805,0.27497253772742153,0,18.9,44.04166667,2.870833333,358.1666667,2013,13.2307720961347,13.1983045778463,16.1351542440369,61.88395677312187,62.5642400679264,60.3850434535499,24.885271130743433,24.2374553542273,23.4798023024132,0.23503479456970805
