field,sensor,date,average_adjacent,stdev_adjacent,sensor_full_name,depth_1,depth_2,depth_3,year,precip.cm,tair.C,rh.pct,wind_sp.m_per_s,irradiance.w_per_m.2,sand_1,sand_2,sand_3,silt_1,silt_2,silt_3,clay_1,clay_2,clay_3,l3_depth_1,l3_depth_2,l3_depth_3,l5_depth_1,l5_depth_2,l5_depth_3,l7_depth_1,l7_depth_2,l7_depth_3,avg_soilM,avg_soilM_l3,avg_soilM_l5,avg_soilM_l7,avg_clay,avg_sand,avg_silt
AES,2,2013-06-15,0.4830491542816162,0.021820859121738333,A2-C,0.1645316310949889,0.2510552137631127,0.26641074672396464,2013,0,18.9,44.04166667,2.870833333,358.1666667,13.037486059510032,19.3836758273507,11.2229213618603,61.8702846045774,55.6573409259707,62.9225674014875,25.092229335912567,24.9589832466786,25.8545112366523,0.1714508131798095,0.2644687901104728,0.27334966066821237,0.17983647296644814,0.2732921772605395,0.27835612634896595,0.18663614927170077,0.28274293955630153,0.28394342241515547,0.2077934224290508,0.2364230879861649,0.2438282588586512,0.2511075037477193,25.30190793974782,14.548027749573677,60.15006431067853
AES,11,2013-06-15,0.4386904968155755,0.012111933573416753,A11-C,0.2636118835057372,0.30601901619932664,0.29807690129335884,2013,0,18.9,44.04166667,2.870833333,358.1666667,18.925437259432,14.7678525740071,13.6907419134922,59.48575425013706,66.090493136756,63.4670154930122,21.588808490430996,19.1416542892369,22.8422425934955,0.284621334718894,0.31942551602562225,0.2993053642853875,0.29858164726315856,0.32566198575781863,0.30052871719841434,0.31302268088484303,0.3303106865880587,0.30052871719841434,0.28481544985253193,0.3011174050099679,0.3082574500731305,0.3146206948904387,21.190901791054465,15.7946772489771,63.01442095996842
AES,10,2013-06-15,0.4655162923865848,0.04119302850984709,A10-C,0.14994567963514271,0.21682802448576566,0.29981023925746453,2013,0,18.9,44.04166667,2.870833333,358.1666667,16.7588176913764,11.2803361804534,10.9774528298485,58.85767382278813,65.9210082743388,63.446604217991,24.383508485835478,22.7986555452078,25.5759429521605,0.15492982125259158,0.23441813642563458,0.30185137943474516,0.16088394571530612,0.25348885374083574,0.30297861472683985,0.171720908104058,0.27207199519149283,0.3038770515462681,0.1833868520604542,0.2303997790376571,0.2391171380609939,0.24922331828060632,24.252702327734593,13.0055355672261,62.741762105039314
AES,3,2013-06-15,0.4045727584097121,0.011380505803087545,A3-C,0.24743541647449885,0.2979928098210968,0.32330808219765617,2013,0,18.9,44.04166667,2.870833333,358.1666667,16.468527476474602,14.9466843622718,12.9911532095528,61.93675629086386,60.620355343708,63.0796890878262,21.594716232661565,24.4329602940202,23.929157702621,0.25277398294979603,0.298086389265691,0.32563275486863985,0.25807574381249265,0.29814877556208713,0.32679138359221627,0.2613707224643504,0.29821116185848323,0.32794815850983494,0.2727141131477978,0.29216437569470893,0.29433863432226537,0.29584334761088954,23.31894474310092,14.802121682766401,61.87893357413269
AES,12,2013-06-15,0.5656551784939237,0.016233978433154456,A12-C,0.23144320534584903,0.25151349944734525,0.28267439223160223,2013,0,18.9,44.04166667,2.870833333,358.1666667,17.093240431138867,11.6480896423963,10.552703173328,58.333787266612795,63.9508412663666,66.8250514635646,24.572972302248303,24.4010690912371,22.6222453631073,0.25312755594493896,0.2638809827036297,0.28295610893872813,0.2675363241041536,0.26944692754912847,0.2846438087195719,0.28244125583648516,0.27882446979839914,0.28715845538840995,0.24147835239659715,0.2666548825290989,0.2738756867909513,0.28280806034109807,23.865428918864236,13.098011082287723,63.036559998848
AES,5,2013-06-15,0.4486591054333581,0.011650707820297104,A5-C,0.14836565631702772,0.2882323826848472,0.27849006773982055,2013,0,18.9,44.04166667,2.870833333,358.1666667,16.239896948098203,17.8162778545966,14.8911260428653,62.309404110917605,56.3756767036222,67.1593474607257,21.450698940984267,25.8080454417812,17.949526496409,0.154083045640198,0.2954035818007204,0.28142582949715333,0.16117674276428376,0.3008628564136461,0.2833703483822094,0.17100310900033197,0.30896276683310747,0.2846601954737743,0.21829901950093744,0.24363748564602392,0.24846998252004643,0.2548753571024046,21.736090293058155,16.315766948520036,61.94814275842183
AES,6,2013-06-15,0.4934256606631809,0.008864087046128663,A6-C,NA,0.23503479456970805,0.27497253772742153,2013,0,18.9,44.04166667,2.870833333,358.1666667,13.2307720961347,13.1983045778463,16.1351542440369,61.88395677312187,62.5642400679264,60.3850434535499,24.885271130743433,24.2374553542273,23.4798023024132,NA,0.25155487866724346,0.2786207416292992,NA,0.2653959880391019,0.28115523355983635,NA,0.2845123528259364,0.28367319106025823,0.23503479456970805,0.2650878101482713,0.27327561079946916,0.28409277194309734,24.20084292912798,14.188076972672635,61.61108009819939
AES,11,2015-06-19,0.4929599165916443,0.014711250030775159,A11-C,0.13252857479465985,0.1354243523717545,0.21846484582818354,2015,0.051,18.05416667,45.95833333,4.3,346.5,18.925437259432,14.7678525740071,13.6907419134922,59.48575425013706,66.090493136756,63.4670154930122,21.588808490430996,19.1416542892369,22.8422425934955,0.1446169177288137,0.14837786496704886,0.23130459860946584,0.1557437332234144,0.1579051264729976,0.24071696734697073,0.17053965317021175,0.16673747616463003,0.24902201997404444,0.13397646358320717,0.17476646043510946,0.1847886090144609,0.19543304976962875,21.190901791054465,15.7946772489771,63.01442095996842
AES,10,2015-06-19,0.4198983907699585,0.04767882682574623,A10-C,0.12745539502842662,0.19046504566873787,0.2687851137651015,2015,0.051,18.05416667,45.95833333,4.3,346.5,16.7588176913764,11.2803361804534,10.9774528298485,58.85767382278813,65.9210082743388,63.446604217991,24.383508485835478,22.7986555452078,25.5759429521605,0.13321260666378237,0.1972219795800192,0.27308585782447536,0.13831137152604217,0.2028610962847916,0.27635330521463153,0.1476087562598381,0.208404475594897,0.27922562704995363,0.15896022034858226,0.2011734813560923,0.20584192434182177,0.21174628630156292,24.252702327734593,13.0055355672261,62.741762105039314
AES,3,2015-06-19,0.5484045876397027,0.010715737041543775,A3-C,0.14643773468058796,0.24553917676148335,0.2243816734297408,2015,0.051,18.05416667,45.95833333,4.3,346.5,16.468527476474602,14.9466843622718,12.9911532095528,61.93675629086386,60.620355343708,63.0796890878262,21.594716232661565,24.4329602940202,23.929157702621,0.1547866695101875,0.25146838719648923,0.2310896412997206,0.15781181261116206,0.2557630399037349,0.2351245240678218,0.15997635304403002,0.25859515462586263,0.2386167982324448,0.19598845572103565,0.21244823266879911,0.21623312552757293,0.21906276863411248,23.31894474310092,14.802121682766401,61.87893357413269
