field,average_adjacent,stdev_adjacent,sensor,date,sensor_full_name,depth_1,depth_2,depth_3,year,precip.cm,tair.C,rh.pct,wind_sp.m_per_s,irradiance.w_per_m.2,sand_1,sand_2,sand_3,silt_1,silt_2,silt_3,clay_1,clay_2,clay_3,l3_depth_1,l3_depth_2,l3_depth_3,l5_depth_1,l5_depth_2,l5_depth_3,l7_depth_1,l7_depth_2,l7_depth_3,avg_soilM,avg_soilM_l3,avg_soilM_l5,avg_soilM_l7,avg_clay,avg_sand,avg_silt
AES,0.544565002,0.010539195,1,6/25/12,A1-C,0.207172641,0.236571315,0.327153964,2012,0,17.44166667,59,3,328.9583333,13.59691543,14.53042092,15.07895971,57.4101409,54.14128453,51.31946978,28.99294367,31.32829455,33.60157051,0.215672699,0.244371861,0.332087693,0.219906987,0.258998811,0.338061075,0.236726084,0.267350711,0.340218078,0.221871978,0.264044084,0.272322291,0.281431624,31.30760291,14.40209869,54.2902984
AES,0.456344601,0.006818796,1,7/6/12,A1-C,0.197196878,0.211129916,0.300720499,2012,0,22.175,56.04166667,2.2,341.2916667,13.59691543,14.53042092,15.07895971,57.4101409,54.14128453,51.31946978,28.99294367,31.32829455,33.60157051,0.205752029,0.220757594,0.309281915,0.205752029,0.223942096,0.314361788,0.201478389,0.223148443,0.318283612,0.204163397,0.245263846,0.248018638,0.247636814,31.30760291,14.40209869,54.2902984
AES,0.436241825,0.008819201,1,7/8/13,A1-C,0.226935276,0.234217553,0.305300894,2013,0,21.50416667,52.95833333,4.0625,320.375,13.59691543,14.53042092,15.07895971,57.4101409,54.14128453,51.31946978,28.99294367,31.32829455,33.60157051,0.236726084,0.242816697,0.312108589,0.247839123,0.245148207,0.315484687,0.240905279,0.245148207,0.317724937,0.230576415,0.26388379,0.269490672,0.267926141,31.30760291,14.40209869,54.2902984
AES,0.586635874,0.023360892,2,6/25/12,A2-C,0.182109108,0.26446879,0.261957714,2012,0,17.44166667,59,3,328.9583333,13.03748606,19.38367583,11.22292136,61.8702846,55.65734093,62.9225674,25.09222934,24.95898325,25.85451124,0.19263777,0.273292177,0.268310318,0.19933617,0.282020508,0.274604473,0.207454461,0.288505496,0.278356126,0.223288949,0.244746755,0.25198705,0.258105361,25.30190794,14.54802775,60.15006431
AES,0.536787669,0.020535749,2,7/6/12,A2-C,0.176034569,0.235898929,0.23795919,2012,0,22.175,56.04166667,2.2,341.2916667,13.03748606,19.38367583,11.22292136,61.8702846,55.65734093,62.9225674,25.09222934,24.95898325,25.85451124,0.182864628,0.245026498,0.245175734,0.182864628,0.248799198,0.24908264,0.180594018,0.251807219,0.25361604,0.205966749,0.22435562,0.226915489,0.228672426,25.30190794,14.54802775,60.15006431
AES,0.462000072,0.047872521,2,6/8/13,A2-C,0.186636149,0.28274294,0.283943422,2013,0,17.95416667,47.08333333,3.429166667,358.0416667,13.03748606,19.38367583,11.22292136,61.8702846,55.65734093,62.9225674,25.09222934,24.95898325,25.85451124,0.195621363,0.292799953,0.290712471,0.19933617,0.298490689,0.293766397,0.201558168,0.302026804,0.296807537,0.234689544,0.259711263,0.263864419,0.266797503,25.30190794,14.54802775,60.15006431
AES,0.483049154,0.021820859,2,6/15/13,A2-C,0.164531631,0.251055214,0.266410747,2013,0,18.9,44.04166667,2.870833333,358.1666667,13.03748606,19.38367583,11.22292136,61.8702846,55.65734093,62.9225674,25.09222934,24.95898325,25.85451124,0.171450813,0.26446879,0.273349661,0.179836473,0.273292177,0.278356126,0.186636149,0.28274294,0.283943422,0.207793422,0.236423088,0.243828259,0.251107504,25.30190794,14.54802775,60.15006431
AES,0.545741402,0.027661802,2,6/29/13,A2-C,0.15988711,0.221251726,0.244521843,2013,0.036,23.1375,65,2.770833333,288.125,13.03748606,19.38367583,11.22292136,61.8702846,55.65734093,62.9225674,25.09222934,24.95898325,25.85451124,0.150527174,0.224356916,0.247782165,0.149741272,0.223581675,0.24908264,0.14738559,0.228220448,0.252969455,0.190569418,0.207555418,0.207468529,0.209525164,25.30190794,14.54802775,60.15006431
AES,0.501817375,0.009825935,2,7/8/13,A2-C,0.155218282,0.200011803,0.230004737,2013,0,21.50416667,52.95833333,4.0625,320.375,13.03748606,19.38367583,11.22292136,61.8702846,55.65734093,62.9225674,25.09222934,24.95898325,25.85451124,0.162212409,0.209513262,0.236638623,0.166842751,0.216574929,0.239933648,0.162986158,0.220474372,0.243214062,0.177615043,0.202788098,0.207783776,0.208891531,25.30190794,14.54802775,60.15006431
AES,0.535389264,0.012256802,3,6/25/12,A3-C,0.258075744,0.306074866,0.345613075,2012,0,17.44166667,59,3,328.9583333,16.46852748,14.94668436,12.99115321,61.93675629,60.62035534,63.07968909,21.59471623,24.43296029,23.9291577,0.265305418,0.306362838,0.34841603,0.265305418,0.30665081,0.350648012,0.271169779,0.307513,0.35176215,0.282075305,0.306694762,0.307534747,0.31014831,23.31894474,14.80212168,61.87893357
AES,0.555556873,0.011997235,3,7/6/12,A3-C,0.317662278,0.30288821,0.335988115,2012,0,22.175,56.04166667,2.2,341.2916667,16.46852748,14.94668436,12.99115321,61.93675629,60.62035534,63.07968909,21.59471623,24.43296029,23.9291577,0.284035969,0.30288821,0.338835561,0.267918616,0.303760747,0.341102766,0.276988571,0.304630697,0.344489669,0.310275244,0.30858658,0.30426071,0.308702979,23.31894474,14.80212168,61.87893357
AES,0.412851416,0.007506748,3,7/13/12,A3-C,0.309097086,0.301137101,0.326791384,2012,0,23.3625,53,2.283333333,309.875,16.46852748,14.94668436,12.99115321,61.93675629,60.62035534,63.07968909,21.59471623,24.43296029,23.9291577,0.314004501,0.30259679,0.330832681,0.317662278,0.30259679,0.333129546,0.317662278,0.30288821,0.335988115,0.305117094,0.315811324,0.317796205,0.318846201,23.31894474,14.80212168,61.87893357
AES,0.404572758,0.011380506,3,6/15/13,A3-C,0.247435416,0.29799281,0.323308082,2013,0,18.9,44.04166667,2.870833333,358.1666667,16.46852748,14.94668436,12.99115321,61.93675629,60.62035534,63.07968909,21.59471623,24.43296029,23.9291577,0.252773983,0.298086389,0.325632755,0.258075744,0.298148776,0.326791384,0.261370722,0.298211162,0.327948159,0.272714113,0.292164376,0.294338634,0.295843348,23.31894474,14.80212168,61.87893357
AES,0.512678391,0.026665529,3,7/8/13,A3-C,0.235966087,0.293138559,0.303203557,2013,0,21.50416667,52.95833333,4.0625,320.375,16.46852748,14.94668436,12.99115321,61.93675629,60.62035534,63.07968909,21.59471623,24.43296029,23.9291577,0.241383522,0.294634459,0.304404823,0.245423376,0.295528551,0.304404823,0.245423376,0.295528551,0.30380419,0.264552323,0.280140935,0.281785583,0.281585372,23.31894474,14.80212168,61.87893357
AES,0.628495759,0.019997784,3,6/5/15,A3-C,0.170746737,0.27077914,0.25080545,2015,0,19.825,60,2.020833333,350.5416667,16.46852748,14.94668436,12.99115321,61.93675629,60.62035534,63.07968909,21.59471623,24.43296029,23.9291577,0.163527175,0.272387275,0.252880178,0.162342223,0.27327404,0.254116561,0.16115727,0.275449544,0.256850977,0.220762939,0.229598209,0.229910941,0.231152597,23.31894474,14.80212168,61.87893357
AES,0.548404588,0.010715737,3,6/19/15,A3-C,0.146437735,0.245539177,0.224381673,2015,0.051,18.05416667,45.95833333,4.3,346.5,16.46852748,14.94668436,12.99115321,61.93675629,60.62035534,63.07968909,21.59471623,24.43296029,23.9291577,0.15478667,0.251468387,0.231089641,0.157811813,0.25576304,0.235124524,0.159976353,0.258595155,0.238616798,0.195988456,0.212448233,0.216233126,0.219062769,23.31894474,14.80212168,61.87893357
AES,0.472815795,0.033221587,4,6/25/12,A4-C,NA,0.362754299,0.356406568,2012,0,17.44166667,59,3,328.9583333,14.67277018,16.04829023,15.47419577,56.37694794,60.63195863,62.32922904,28.95028188,23.31975115,22.19657519,NA,0.355759008,0.352895475,NA,0.353420524,0.353775343,NA,0.360427911,0.352895475,0.362754299,0.354327241,0.353597934,0.356661693,24.82220274,15.39841872,59.77937853
AES,0.400340594,0.060908237,4,6/5/15,A4-C,NA,0.097409531,0.188492278,2015,0,19.825,60,2.020833333,350.5416667,14.67277018,16.04829023,15.47419577,56.37694794,60.63195863,62.32922904,28.95028188,23.31975115,22.19657519,NA,0.101906831,0.18990245,NA,0.097993644,0.190797469,NA,0.095945941,0.195737537,0.097409531,0.14590464,0.144395556,0.145841739,24.82220274,15.39841872,59.77937853
AES,0.506587767,0.018798569,5,6/25/12,A5-C,0.316799257,0.346863475,0.30039592,2012,0,17.44166667,59,3,328.9583333,16.23989695,17.81627785,14.89112604,62.30940411,56.3756767,67.15934746,21.45069894,25.80804544,17.9495265,0.329167894,0.347866483,0.301929986,0.334709391,0.348869492,0.302846321,0.348878652,0.350867769,0.303456869,0.331831366,0.326321454,0.328808401,0.334401097,21.73609029,16.31576695,61.94814276
AES,0.527558307,0.013449902,5,7/6/12,A5-C,0.330281271,0.338258965,0.294813765,2012,0,22.175,56.04166667,2.2,341.2916667,16.23989695,17.81627785,14.89112604,62.30940411,56.3756767,67.15934746,21.45069894,25.80804544,17.9495265,0.345638254,0.342323625,0.296373485,0.351564175,0.344346667,0.297306238,0.36376236,0.345354319,0.297926021,0.334270118,0.328111788,0.33107236,0.3356809,21.73609029,16.31576695,61.94814276
AES,0.427507506,0.009455144,5,6/8/13,A5-C,0.171003109,0.308962767,0.284660195,2013,0,17.95416667,47.08333333,3.429166667,358.0416667,16.23989695,17.81627785,14.89112604,62.30940411,56.3756767,67.15934746,21.45069894,25.80804544,17.9495265,0.18552234,0.321698495,0.28722655,0.19302222,0.326925591,0.288821158,0.198431346,0.330038322,0.289774434,0.239982938,0.264815795,0.269589657,0.272748034,21.73609029,16.31576695,61.94814276
AES,0.448659105,0.011650708,5,6/15/13,A5-C,0.148365656,0.288232383,0.278490068,2013,0,18.9,44.04166667,2.870833333,358.1666667,16.23989695,17.81627785,14.89112604,62.30940411,56.3756767,67.15934746,21.45069894,25.80804544,17.9495265,0.154083046,0.295403582,0.281425829,0.161176743,0.300862856,0.283370348,0.171003109,0.308962767,0.284660195,0.21829902,0.243637486,0.248469983,0.254875357,21.73609029,16.31576695,61.94814276
AES,0.562218083,0.017768466,5,6/29/13,A5-C,0.154083046,0.277038316,0.268189761,2013,0.036,23.1375,65,2.770833333,288.125,16.23989695,17.81627785,14.89112604,62.30940411,56.3756767,67.15934746,21.45069894,25.80804544,17.9495265,0.146209622,0.280417277,0.271210692,0.142606561,0.277038316,0.271210692,0.141161347,0.280417277,0.273542062,0.215560681,0.23261253,0.230285189,0.231706895,21.73609029,16.31576695,61.94814276
AES,0.556388126,0.006455291,5,7/8/13,A5-C,0.149798177,0.252880987,0.254118422,2013,0,21.50416667,52.95833333,4.0625,320.375,16.23989695,17.81627785,14.89112604,62.30940411,56.3756767,67.15934746,21.45069894,25.80804544,17.9495265,0.154083046,0.263918721,0.259327065,0.157637147,0.271936595,0.263102202,0.1555065,0.275908384,0.266501775,0.201339582,0.225776277,0.230891982,0.232638886,21.73609029,16.31576695,61.94814276
AES,0.603002303,0.014633294,5,6/5/15,A5-C,0.198566798,0.213186988,0.223955843,2015,0,19.825,60,2.020833333,350.5416667,16.23989695,17.81627785,14.89112604,62.30940411,56.3756767,67.15934746,21.45069894,25.80804544,17.9495265,0.207751455,0.220160769,0.227220775,0.214090893,0.222405118,0.22790476,0.236704007,0.232057711,0.230877293,0.205876893,0.218377666,0.221466924,0.233213004,21.73609029,16.31576695,61.94814276
AES,0.501298014,0.014522985,5,6/19/15,A5-C,0.125155069,0.120935951,0.186063192,2015,0.051,18.05416667,45.95833333,4.3,346.5,16.23989695,17.81627785,14.89112604,62.30940411,56.3756767,67.15934746,21.45069894,25.80804544,17.9495265,0.129107637,0.127335742,0.197336297,0.134106147,0.133973379,0.202880541,0.143505888,0.14336264,0.208015883,0.12304551,0.151259892,0.156986689,0.164961471,21.73609029,16.31576695,61.94814276
AES,0.486817827,0.031405056,6,6/25/12,A6-C,NA,0.347029044,0.266826969,2012,0,17.44166667,59,3,328.9583333,13.2307721,13.19830458,16.13515424,61.88395677,62.56424007,60.38504345,24.88527113,24.23745535,23.4798023,NA,0.347029044,0.267201356,NA,0.348022933,0.267574561,NA,0.349015261,0.267947767,0.347029044,0.3071152,0.307798747,0.308481514,24.20084293,14.18807697,61.6110801
AES,0.497542388,0.020714366,6,7/6/12,A6-C,NA,0.345534311,0.267201356,2012,0,22.175,56.04166667,2.2,341.2916667,13.2307721,13.19830458,16.13515424,61.88395677,62.56424007,60.38504345,24.88527113,24.23745535,23.4798023,NA,0.349015261,0.269065022,NA,0.352475929,0.26980789,NA,0.357379841,0.271659747,0.345534311,0.309040142,0.31114191,0.314519794,24.20084293,14.18807697,61.6110801
AES,0.448211981,0.021260733,6,6/8/13,A6-C,NA,0.284512353,0.283673191,2013,0,17.95416667,47.08333333,3.429166667,358.0416667,13.2307721,13.19830458,16.13515424,61.88395677,62.56424007,60.38504345,24.88527113,24.23745535,23.4798023,NA,0.31106494,0.286530104,NA,0.321052195,0.288306375,NA,0.32520718,0.289013812,0.284512353,0.298797522,0.304679285,0.307110496,24.20084293,14.18807697,61.6110801
AES,0.493425661,0.008864087,6,6/15/13,A6-C,NA,0.235034795,0.274972538,2013,0,18.9,44.04166667,2.870833333,358.1666667,13.2307721,13.19830458,16.13515424,61.88395677,62.56424007,60.38504345,24.88527113,24.23745535,23.4798023,NA,0.251554879,0.278620742,NA,0.265395988,0.281155234,NA,0.284512353,0.283673191,0.235034795,0.26508781,0.273275611,0.284092772,24.20084293,14.18807697,61.6110801
AES,0.565536506,0.025235054,6,6/29/13,A6-C,NA,0.203269363,0.264952673,2013,0.036,23.1375,65,2.770833333,288.125,13.2307721,13.19830458,16.13515424,61.88395677,62.56424007,60.38504345,24.88527113,24.23745535,23.4798023,NA,0.203895029,0.267947767,NA,0.201393924,0.267201356,NA,0.202019591,0.269065022,0.203269363,0.235921398,0.23429764,0.235542306,24.20084293,14.18807697,61.6110801
AES,0.553958052,0.015895277,6,7/8/13,A6-C,NA,0.177206699,0.234188004,2013,0,21.50416667,52.95833333,4.0625,320.375,13.2307721,13.19830458,16.13515424,61.88395677,62.56424007,60.38504345,24.88527113,24.23745535,23.4798023,NA,0.185569718,0.24534402,NA,0.193840682,0.254299776,NA,0.200139471,0.261558391,0.177206699,0.215456869,0.224070229,0.230848931,24.20084293,14.18807697,61.6110801
AES,0.605112844,0.013143534,6,6/5/15,A6-C,NA,0.225889666,NA,2015,0,19.825,60,2.020833333,350.5416667,13.2307721,13.19830458,16.13515424,61.88395677,62.56424007,60.38504345,24.88527113,24.23745535,23.4798023,NA,0.230013988,NA,NA,0.227877037,NA,NA,0.236695493,NA,0.225889666,0.230013988,0.227877037,0.236695493,24.20084293,14.18807697,61.6110801
AES,0.45292746,0.046752939,6,6/19/15,A6-C,NA,0.152587286,NA,2015,0.051,18.05416667,45.95833333,4.3,346.5,13.2307721,13.19830458,16.13515424,61.88395677,62.56424007,60.38504345,24.88527113,24.23745535,23.4798023,NA,0.162838856,NA,NA,0.172145783,NA,NA,0.18120794,NA,0.152587286,0.162838856,0.172145783,0.18120794,24.20084293,14.18807697,61.6110801
AES,0.526718934,0.007762059,7,6/25/12,A7-C,0.283520035,0.317574788,0.367070996,2012,0,17.44166667,59,3,328.9583333,12.32517466,15.31332619,16.32944521,62.33637173,60.7100102,61.40383378,25.33845361,23.9766636,22.26672101,0.301583551,0.328055329,0.373490811,0.314151251,0.338791241,0.380483147,0.327251792,0.344760721,0.384897033,0.300547411,0.334376564,0.344475213,0.352303182,23.86061274,14.65598202,61.48340524
AES,0.514492042,0.010220957,7,7/6/12,A7-C,0.250351341,0.289429369,0.341465406,2012,0,22.175,56.04166667,2.2,341.2916667,12.32517466,15.31332619,16.32944521,62.33637173,60.7100102,61.40383378,25.33845361,23.9766636,22.26672101,0.260710506,0.298972566,0.350762561,0.263519101,0.303434914,0.355365884,0.268173804,0.305900056,0.358636832,0.269890355,0.303481878,0.307439966,0.310903564,23.86061274,14.65598202,61.48340524
AES,0.547232866,0.052743874,7,6/29/13,A7-C,0.197403937,0.22642508,0.342799886,2013,0.036,23.1375,65,2.770833333,288.125,12.32517466,15.31332619,16.32944521,62.33637173,60.7100102,61.40383378,25.33845361,23.9766636,22.26672101,0.195731918,0.227546941,0.355365884,0.195731918,0.226986011,0.355365884,0.19489693,0.230347164,0.362541343,0.211914508,0.259548248,0.259361271,0.262595146,23.86061274,14.65598202,61.48340524
AES,0.53559702,0.025868967,7,7/8/13,A7-C,0.182259818,0.215083954,0.269321419,2013,0,21.50416667,52.95833333,4.0625,320.375,12.32517466,15.31332619,16.32944521,62.33637173,60.7100102,61.40383378,25.33845361,23.9766636,22.26672101,0.181410538,0.218507105,0.294590232,0.17971198,0.221912543,0.31285408,0.195731918,0.224736385,0.330014982,0.198671886,0.231502625,0.238159534,0.250161095,23.86061274,14.65598202,61.48340524
AES,0.524587502,0.020525794,7,6/5/15,A7-C,0.295448357,0.310713425,0.323111517,2015,0,19.825,60,2.020833333,350.5416667,12.32517466,15.31332619,16.32944521,62.33637173,60.7100102,61.40383378,25.33845361,23.9766636,22.26672101,0.301024484,0.316309255,0.32774971,0.306472228,0.319594824,0.329392934,0.309797938,0.322820765,0.331540891,0.303080891,0.315027816,0.318486662,0.321386531,23.86061274,14.65598202,61.48340524
AES,0.494568931,0.015273268,7,6/19/15,A7-C,0.245838541,0.277788192,0.290909627,2015,0.051,18.05416667,45.95833333,4.3,346.5,12.32517466,15.31332619,16.32944521,62.33637173,60.7100102,61.40383378,25.33845361,23.9766636,22.26672101,0.257858101,0.28480914,0.298400479,0.264909541,0.290251145,0.304681787,0.274055283,0.295891861,0.308676965,0.261813366,0.280355907,0.286614158,0.292874703,23.86061274,14.65598202,61.48340524
