"DOY","field","sensor","raw_smr","filename","date","depth_1","depth_2","depth_3","year","day","sm_mean","error"
"1342014","AES",1,0.29088535,"rz.mc_1342014.asc","2014-05-14",0.370107605621432,0.320682513858812,0.312672829260406,2014,134,0.334487649580217,0.0436022995802166
"1502014","OD",1,0.31212431,"rz.mc_1502014.asc","2014-05-30",0.226413257570756,NA,0.321670057265202,2014,150,0.274041657417979,0.0380826525820213
"1552014","AES",1,0.22065806,"rz.mc_1552014.asc","2014-06-04",0.187162003437232,0.247472463816293,0.321625686204502,2014,155,0.252086717819342,0.0314286578193423
"1592013","AES",1,0.20970126,"rz.mc_1592013.asc","2013-06-08",0.273925643833114,0.304266700905627,0.339139576650944,2013,159,0.305777307129895,0.0960760471298951
"1652012","OD",1,0.36136406,"rz.mc_1652012.asc","2012-06-13",0.380281495502176,0.468103497037001,0.330424249535046,2012,165,0.392936414024741,0.0315723540247408
"1662013","AES",1,0.18224615,"rz.mc_1662013.asc","2013-06-15",0.233936018257311,0.26659414467049,0.335894822147545,2013,166,0.278808328358449,0.0965621783584488
"1662013","OD",1,0.23390746,"rz.mc_1662013.asc","2013-06-15",0.196712604540228,0.241051835108361,0.289977473035283,2013,166,0.242580637561291,0.00867317756129096
"1672012","OD",1,0.34795463,"rz.mc_1672012.asc","2012-06-15",0.37384626047311,0.457353734799424,0.330677187182385,2012,167,0.38729239415164,0.0393377641516398
"1702014","AES",1,0.19801124,"rz.mc_1702014.asc","2014-06-19",0.140490805603742,0.169026987624604,0.265889451739481,2014,170,0.191802414989276,0.00620882501072426
"1702014","OD",1,0.26898428,"rz.mc_1702014.asc","2014-06-19",0.127097031319053,NA,0.316913660875866,2014,170,0.222005346097459,0.0469789339025405
"1772011","AES",1,0.20629052,"rz.mc_1772011.asc","2011-06-26",NA,NA,NA,2011,177,NA,NA
"1772012","AES",1,0.17288861,"rz.mc_1772012.asc","2012-06-25",0.207172640620917,0.236571315349543,0.327153964092495,2012,177,0.256965973354318,0.0840773633543184
"1772012","OD",1,0.29577319,"rz.mc_1772012.asc","2012-06-25",0.314494241126662,0.431184787359738,0.329677010789008,2012,177,0.358452013091803,0.0626788230918026
"1782013","OD",1,0.258472,"rz.mc_1782013.asc","2013-06-27",0.1909818093229,0.229574786027801,0.282367581056637,2013,178,0.234308058802446,0.0241639411975542
"1802013","AES",1,0.18634548,"rz.mc_1802013.asc","2013-06-29",0.231138082439126,0.239701423388769,0.318842286792741,2013,180,0.263227264206879,0.0768817842068785
"1852013","OD",1,0.23024695,"rz.mc_1852013.asc","2013-07-04",0.192910554105732,0.226340615214745,0.277687313993005,2013,185,0.232312827771161,0.0020658777711606
"1862011","OD",1,0.23379331,"rz.mc_1862011.asc","2011-07-05",NA,NA,NA,2011,186,NA,NA
"1882012","AES",1,0.17594541,"rz.mc_1882012.asc","2012-07-06",0.197196877893633,0.211129915883797,0.300720499383795,2012,188,0.236349097720408,0.0604036877204084
"1882014","OD",1,0.22229837,"rz.mc_1882014.asc","2014-07-07",0.145783292428549,NA,0.296949029990239,2014,188,0.221366161209394,0.000932208790606098
"1892013","AES",1,0.16635049,"rz.mc_1892013.asc","2013-07-08",0.226935275893667,0.2342175532221,0.305300893996346,2013,189,0.255484574370704,0.0891340843707041
"1892014","AES",1,0.16517426,"rz.mc_1892014.asc","2014-07-08",0.165447837873371,0.166489811632452,0.189749259901047,2014,189,0.173895636468957,0.00872137646895696
"1902011","AES",1,0.16769181,"rz.mc_1902011.asc","2011-07-09",NA,NA,NA,2011,190,NA,NA
"1922012","OD",1,0.25483725,"rz.mc_1922012.asc","2012-07-10",0.307369638782844,0.404947165533539,0.325064017743219,2012,192,0.345793607353201,0.0909563573532006
"1922014","OD",1,0.21488493,"rz.mc_1922014.asc","2014-07-11",0.144091945241237,NA,0.282334966833424,2014,192,0.21321345603733,0.00167147396266984
"1952012","AES",1,0.17011696,"rz.mc_1952012.asc","2012-07-13",0.204327482257278,0.20465212515491,0.28028446574694,2012,195,0.229754691053042,0.0596377310530425
"1962011","OD",1,0.2151775,"rz.mc_1962011.asc","2011-07-15",NA,NA,NA,2011,196,NA,NA
"1962013","OD",1,0.21204723,"rz.mc_1962013.asc","2013-07-15",0.177036562379644,0.215682451372624,0.270398061332368,2013,196,0.221039025028212,0.0089917950282121
"1972012","OD",1,0.24068257,"rz.mc_1972012.asc","2012-07-15",0.303873650618531,0.400149885795947,0.323855829874743,2012,197,0.34262645542974,0.10194388542974
"2052013","OD",1,0.20898224,"rz.mc_2052013.asc","2013-07-24",0.178091199892484,0.215809515981435,0.269219258019657,2013,205,0.221039991297859,0.0120577512978585
"2062014","AES",1,0.16541674,"rz.mc_2062014.asc","2014-07-25",NA,0.166630550429619,0.187075677688777,2014,206,0.176853114059198,0.0114363740591982
"2082013","AES",1,0.16147476,"rz.mc_2082013.asc","2013-07-27",0.205752029045158,0.225531874279129,0.268914875565705,2013,208,0.233399592963331,0.0719248329633307
"2122011","AES",1,0.16464927,"rz.mc_2122011.asc","2011-07-31",NA,NA,NA,2011,212,NA,NA
"2132012","OD",1,0.21623811,"rz.mc_2132012.asc","2012-07-31",0.295358723558216,0.387287188947491,0.31966986243232,2012,213,0.334105258312676,0.117867148312676
"2152011","OD",1,0.20587338,"rz.mc_2152011.asc","2011-08-03",NA,NA,NA,2011,215,NA,NA
