,mae_rr
0,0.03840903249469016
1,0.039910210910374194
2,0.0468001520260735
3,0.04115316850995516
4,0.04458508632599476
5,0.045269405048775496
6,0.03880269203426881
7,0.034530002716539415
8,0.04412871279394323
9,0.04091780558056864
10,0.03789536151816919
11,0.04377957282376681
12,0.03679278138259415
13,0.04273887061472616
14,0.04567737303603214
15,0.037690651557969024
16,0.03938961792119667
17,0.042629948744208154
18,0.033207737815234895
19,0.036958431854673825
20,0.0420967228069367
21,0.038035132035663
22,0.04295301469322811
23,0.043758178941298735
24,0.038494889659825365
25,0.03739790241922299
26,0.04447142287978921
27,0.04092581377757855
28,0.04070667445342396
29,0.04335786815163753
30,0.041582142518848834
31,0.04036167942071543
32,0.03794278198430938
33,0.036079171530670084
34,0.03667516503441987
35,0.03966332182619909
36,0.03994822606501077
37,0.04021162742161116
38,0.03647402852055255
39,0.03633130885663986
40,0.0316407343385262
41,0.03901357130221756
42,0.04247351689331584
43,0.039939054823402285
44,0.035170112262051245
45,0.040009434815271624
46,0.03900039672315529
47,0.03513177103917617
48,0.03604665751713294
49,0.03993819505965271
50,0.04162678017587997
51,0.03916835883012644
52,0.040053522429097016
53,0.03953471300301507
54,0.044395768744516326
55,0.03871416577033913
56,0.04251876601821309
57,0.040121532200084895
58,0.041617888846440035
59,0.03393731885584906
60,0.03846188978671718
61,0.03760769574416164
62,0.039149305023595725
63,0.04336022150917722
64,0.03727057907154997
65,0.035850147691495846
66,0.03740387125809457
67,0.037969907804267754
68,0.04050073157079216
69,0.037159157201135495
70,0.04403573471976621
71,0.03652543366555609
72,0.0342278870417603
73,0.038635832260237445
74,0.03254846848915796
75,0.04689004509941189
76,0.03942922657115322
77,0.03911583948341857
78,0.0384470666350167
79,0.03076958512459601
80,0.03707094748278129
81,0.034835406720657054
82,0.039327530288436795
83,0.0409883788560156
84,0.03570645553581229
85,0.03988844971109466
86,0.04041585340950986
87,0.03814228075317071
88,0.04059433759012643
89,0.04219573300304544
90,0.04488183525983021
91,0.03549783561388887
92,0.03664222252070071
93,0.03775882328920145
94,0.04697959523927298
95,0.04481208449204406
96,0.04256773682707198
97,0.04108691135688283
98,0.048838671278289704
99,0.045748857897728826
