east,north,ID
466411.1549,5182376.04,AES-1
466497.8643,5182423.841,AES-2
466371.5787,5182249.827,AES-3
466239.5339,5182218.854,AES-4
466275.0262,5182150.807,AES-5
466365.6219,5182132.08,AES-6
466397.3705,5182063.394,AES-7
466420.3849,5182163.321,AES-8
466460.1702,5182182.995,AES-9
466491.1782,5182257.467,AES-10
466491.8605,5182283.413,AES-11
466558.3355,5182171.521,AES-12
517223.7179,5169185.368,J-1
517436.0048,5169223.822,J-2
517330.1217,5169273.579,J-3
516945.3218,5169207.463,J-4
517148.138,5169226.535,J-5
517060.5346,5169323.823,J-6
517096.3826,5169396.407,J-7
517086.2887,5169458.623,J-8
517256.0368,5169450.883,J-9
517240.6891,5169525.249,J-10
517219.5518,5169371.042,J-11
517128.7835,5169251.637,J-12
513138.2963,5150950.814,OD-1
513114.2808,5150976.933,OD-2
513177.6019,5151007.759,OD-3
513337.7381,5151083.812,OD-4
513466.0515,5151083.202,OD-5
513546.1973,5151108.621,OD-6
513540.0716,5151047.229,OD-7
513640.0123,5150993.806,OD-8
513334.0126,5151026.422,OD-9
513454.1755,5150949.83,OD-10
513440.0355,5150987.446,OD-11
513319.5273,5150929.09,OD-12
530671.2913,5158483.586,W-1
530729.7559,5158422.643,W-2
530886.1093,5158365.152,W-3
530945.1622,5158324.212,W-4
531068.5586,5158288.017,W-5
531179.765,5158303.157,W-6
531253.4464,5158378.748,W-7
531130.3819,5158371.762,W-8
531149.4363,5158418.066,W-9
530984.7649,5158432.98,W-10
530834.2513,5158505.251,W-11
530796.0967,5158443.434,W-12
