date,farm,sensor,precip (cm),tair (°C),rh (%),wind sp (m/s),irradiance (w/m^2)
2011-01-01,AES,1,0,-9.375,80.20833333,3.625,78.16666667
2011-01-02,AES,1,0,-6.966666667,79.20833333,2.929166667,53.625
2011-01-03,AES,1,0,-9.095833333,84.5,1.570833333,76.125
2011-01-04,AES,1,0,-3.770833333,79.95833333,3.6,66.54166667
2011-01-05,AES,1,0.048,0.325,80.5,4.545833333,43.125
2011-01-06,AES,1,0.144,3.033333333,84.16666667,4.254166667,29.20833333
2011-01-07,AES,1,0.125,3.466666667,84.45833333,4.491666667,25.04166667
2011-01-08,AES,1,0,0.554166667,85.70833333,5.345833333,76.625
2011-01-09,AES,1,0,-2.166666667,93.04166667,3.1875,46.95833333
2011-01-10,AES,1,0,-6.6,82.04166667,1.775,84.45833333
2011-01-11,AES,1,0,-4.666666667,74.79166667,5.541666667,55.54166667
2011-01-12,AES,1,0.219,1.925,84.91666667,5.975,17.41666667
2011-01-13,AES,1,0.535,5.6125,90.45833333,4.104166667,23.54166667
2011-01-14,AES,1,0.268,9.316666667,82.625,6.545833333,18.20833333
2011-01-15,AES,1,0.606,8.620833333,84.75,3.933333333,46.95833333
2011-01-16,AES,1,1.264,11.21666667,92.70833333,8.3625,24.83333333
2011-01-17,AES,1,0.048,8.079166667,83.04166667,9.741666667,41.33333333
2011-01-18,AES,1,0.24,2.9625,92.79166667,4.441666667,26.91666667
2011-01-19,AES,1,0,-1.258333333,92.16666667,3.370833333,94.66666667
2011-01-20,AES,1,0,-0.2,85.54166667,4.458333333,16.33333333
2011-01-21,AES,1,1.171,4.466666667,94.54166667,6.175,12.16666667
2011-01-22,AES,1,0,4.033333333,86.33333333,4.970833333,89.95833333
2011-01-23,AES,1,0,5.104166667,75.79166667,3.454166667,77.625
2011-01-24,AES,1,0.316,4.325,95.83333333,3.075,19.41666667
2011-01-25,AES,1,0,5.5875,94,2.683333333,63.20833333
2011-01-26,AES,1,0,4.854166667,91.66666667,3.920833333,56.5
2011-01-27,AES,1,0,6.083333333,78.29166667,4.2875,78.79166667
2011-01-28,AES,1,0,6.404166667,74.625,3.670833333,66.20833333
2011-01-29,AES,1,0.606,4.7875,91.29166667,2.2625,23.375
2011-01-30,AES,1,0.315,0.95,86.79166667,3.358333333,54.70833333
2011-01-31,AES,1,0,-4.420833333,72.5,2.925,110.2083333
2011-02-01,AES,1,0,-6.333333333,67.125,2.104166667,114.7083333
2011-02-02,AES,1,0,-4.2,65.33333333,2.691666667,101.5833333
2011-02-03,AES,1,0,-0.145833333,65.54166667,3.3375,73.25
2011-02-04,AES,1,0.048,5.458333333,90.33333333,4.795833333,19.91666667
2011-02-05,AES,1,0,4.266666667,90.79166667,4.420833333,71.54166667
2011-02-06,AES,1,1.04,2.879166667,97.70833333,2.245833333,41.04166667
2011-02-07,AES,1,0.05,4.070833333,88.83333333,7.8125,59.875
2011-02-08,AES,1,0,0.7,96.75,3.620833333,24.08333333
2011-02-09,AES,1,0,-0.054166667,87.41666667,2.445833333,53.625
2011-02-10,AES,1,0,2.125,77.41666667,2.966666667,123.125
2011-02-11,AES,1,0,4.716666667,70.54166667,4.6875,75.75
2011-02-12,AES,1,0.062,8.3125,57.125,5.3625,45.5
2011-02-13,AES,1,0.023,6.9875,70.54166667,4.704166667,110.2083333
2011-02-14,AES,1,0.023,8.475,60.41666667,4.35,59.95833333
2011-02-15,AES,1,1.505,2.445833333,98.75,3.4,56.04166667
2011-02-16,AES,1,0.354,0.6625,98.33333333,2.083333333,83.54166667
2011-02-17,AES,1,0.146,-0.3,91.875,2.808333333,81.66666667
2011-02-18,AES,1,0,-0.275,93.91666667,2.191666667,122
2011-02-19,AES,1,0,-0.954166667,92.41666667,2.466666667,99.33333333
2011-02-20,AES,1,0.076,-0.645833333,80.625,4.516666667,137.5416667
2011-02-21,AES,1,0,-1.420833333,81.33333333,2.8125,138.5833333
2011-02-22,AES,1,0.403,-0.329166667,93.04166667,7.033333333,98.08333333
2011-02-23,AES,1,0.088,-1.879166667,89.91666667,4.533333333,113.4583333
2011-02-24,AES,1,0.165,-5.6,90.91666667,2.6875,127.2083333
2011-02-25,AES,1,0,-14.12083333,77.875,2.904166667,164.7083333
2011-02-26,AES,1,0,-13.49583333,71.125,2.908333333,136.1666667
2011-02-27,AES,1,0.063,-1.358333333,81.91666667,5.395833333,97.95833333
2011-02-28,AES,1,1.078,2.058333333,85.79166667,5.1,73
2011-03-01,AES,1,0.711,2.6625,96.125,3.258333333,117.5833333
2011-03-02,AES,1,0.11,4.504166667,82,5.25,105.25
2011-03-03,AES,1,0,2.8625,82.79166667,2.791666667,163.7083333
2011-03-04,AES,1,0,2.683333333,83.75,4.0875,137.4166667
2011-03-05,AES,1,0.193,3.920833333,87.125,2.520833333,131.8333333
2011-03-06,AES,1,0,1.8375,90.70833333,1.354166667,127.0833333
2011-03-07,AES,1,0,0.833333333,92.66666667,2.816666667,118.5833333
2011-03-08,AES,1,0,2.7875,83.25,3.691666667,98.04166667
2011-03-09,AES,1,0.477,5.304166667,89.20833333,4.225,93.25
2011-03-10,AES,1,0.764,6.129166667,85.70833333,5.7125,32.75
2011-03-11,AES,1,0,3.670833333,68.95833333,4.1875,143.6666667
2011-03-12,AES,1,0.146,4.2875,78.83333333,4.825,153.1666667
2011-03-13,AES,1,0.246,6.691666667,84,4.779166667,119
2011-03-14,AES,1,0.075,6.75,70.29166667,4.095833333,124.75
2011-03-15,AES,1,0.879,6.779166667,85.91666667,4.591666667,45.20833333
2011-03-16,AES,1,0.057,4.633333333,79.58333333,4.8375,127.4583333
2011-03-17,AES,1,0.146,4.491666667,76.25,3.45,151.25
2011-03-18,AES,1,0,6.891666667,67.25,4.641666667,137.4583333
2011-03-19,AES,1,0.354,3.45,90.83333333,3.816666667,137.3333333
2011-03-20,AES,1,0.125,5.183333333,76.20833333,5.870833333,85.5
2011-03-21,AES,1,0.747,4.620833333,98.625,3.470833333,47.125
2011-03-22,AES,1,0,4.741666667,72.25,4.858333333,202.9166667
2011-03-23,AES,1,0,5.7625,73.70833333,4.529166667,191
2011-03-24,AES,1,0.023,9.345833333,63.95833333,3.504166667,190.875
2011-03-25,AES,1,0.315,5.325,87.04166667,3.554166667,149.5
2011-03-26,AES,1,0.443,6.341666667,78,4.425,171.2916667
2011-03-27,AES,1,0.31,6.183333333,74.16666667,3.691666667,155.4166667
2011-03-28,AES,1,0.462,4.770833333,88.58333333,4.654166667,119.2083333
